Pleb_Rank,Betweenness_Rank,Eigenvector_Rank,PageRank,Weighted_Degree_Rank,Channels_Rank,Capacity_Rank,alias,Node_Type,Total_Capacity,Num_Channels,Public_Key
2527,4116,2482,3759,2647,2840,1683,02bad5e103306e9dec39,,25.0m sats,4.0,02bad5e103306e9dec39c3b92aa8847bd4fc33eadf8003d276cfa7e9dae26986f8
2528,2772,3294,3022,2493,2634,3626,Scalprum-node,,5.5m sats,5.0,03d71396032747fa1c18ae98768ffd95cf91a57f6f800954330bdceeeadd249da5
2529,2038,2941,2868,3183,3092,3686,ContemplativeWoodsman,,5.2m sats,4.0,02fd9556e16932849ca5699056b1b47aff49c606cfc3f0b5ad09098f7093dfea80
2530,2339,3023,3304,2523,2663,4041,03f641f79a344a106547,,4.4m sats,5.0,03f641f79a344a106547ebbbb2889e0873d82458b2e72531f4dc74509a6b66241a
2531,2067,3393,2958,3087,3019,3221,Cryptoverman,,7.3m sats,4.0,03c507ff6ed6214c2357cd127dc3f8d27235ccc96206048872a1bb845e8af9cd52
2532,4439,1975,2217,1982,2115,1152,JUNIORSPORK,,47.8m sats,6.0,03c902cfb941b0f6f002f6f9f6b199146ee5d00de980774baa5877776c0f055492
2533,4297,4165,3092,2309,2415,1408,SHOPINBIT.COM,,33.9m sats,5.0,032287034fa4f1cb30a3d9918759858fa6cbdd9a3c1d4155b566b085bed74beb5e
2534,3924,2915,3753,2641,2831,1536,MareNostrum,,29.2m sats,4.0,03d43e927652662ec3129fbd831d74446e7c39a205d0d09591132af5405b7a9bee
2535,3448,6391,2048,1695,1792,2521,020cd843f3128386ac55,,11.8m sats,8.0,020cd843f3128386ac5551647496d57aeb0b5259611d7ebb9314cae77115653548
2536,2520,2546,3459,2913,3042,3354,Stregatto[LND],,6.6m sats,4.0,0298f985809ad42627b36af9fa1d57c4f668a6ed7ac9c300cd9ff0a27bce441e56
2537,4398,929,2925,2210,2392,947,covachita,,67.0m sats,5.0,02e9c9122ff3a8094eaa5d5fe77a58d86cf74c0255301ce132e58325a6e018fd06
2538,4419,1653,2663,1971,2111,1080,I'm Ron Burgundy?,,53.4m sats,6.0,03cd275b154962cfd52d98ed170f9f477ea42dadf7cb2673693e443ed3afd4aa7d
2539,3795,1986,3407,2490,2629,3621,sparky,,5.5m sats,5.0,025fb5d72e0e1483f3a286834b4004f9a7de34c4f9453e92687d1f3c9cfb5c2b0b
2540,3026,3947,2675,2498,2578,3173,Colombia 🇨🇴,,7.5m sats,5.0,03528679108d02f35ad5df6f746574e2107ffb83fa576173f00353f59e39f0a251
2541,1245,5619,2728,2820,2927,2401,034e8311857c47cc7107,,13.0m sats,4.0,034e8311857c47cc7107e30159457d013d3c42c9f73f0359eb4fb467363671f7d8
2542,1280,5086,1560,1679,1516,6852,Ademnode,,949k sats,10.0,034232f9d7d4fbc7a0b7b35f70cef9695daed85c2ef95c2e3ae6de0a9aab00cbe6
2543,1064,3392,2610,3097,3219,4673,PAYRIUS,,2.9m sats,4.0,03888f2c0845d91d39593a40e71f08be4e85d42544c24e4b0272edb8c7b50a6ae4
2544,5027,913,1947,1937,2008,2869,21fix,,9.9m sats,7.0,03e4d7cab5eb43b3601e680aeb6725b4c3d208f829c31a25c772b7dab493b5e883
2545,1600,6811,1512,1706,1661,4716,satearnblitz,,2.8m sats,9.0,024223efc1c11fb891d66797a20cf3f910aa70373225593c7e495dab64e66ffe9f
2546,2390,5277,2440,2231,2284,3365,Vacuum💸,,6.5m sats,6.0,0334c29a37fe5d9d5ab8882855c75745f5b5d29cb2c6424fae138a29b248c6cd64
2547,4423,1248,2503,2228,2397,1096,03b393f22734b8eb6035,,52.0m sats,5.0,03b393f22734b8eb603518c8cb0c3c7027b1d7c17b2ece07d999dbd293994b53f2
2548,3925,3626,2749,2430,2529,2657,DBTC2140,,10.2m sats,5.0,03fa24c9d2cf03aac9bde69d01fa8f1ae6ed9e68e1a00479c1fd456c6e6bb410e0
2549,2382,4216,3760,2753,2850,1769,POSITRON,,22.9m sats,4.0,031da27172ae518f7a492c428795f1876ae65752b9da43477ff4928b94d346ceda
2550,1566,5376,2498,2151,2070,4420,BASEL,,3.3m sats,7.0,02bd5385fa21d5e6228151511ba7751c05efe60b14edaac900f8ad0b690f670637
2551,4300,2469,3991,2633,2830,1517,21MillionRoutingLND1,,30.0m sats,4.0,03a9a1277ae903a0493a2bf15950ed70f616ed584a113b3eca78b75267a5b3d63e
2552,4559,1105,2639,2037,2155,1703,0372f6bae86ecbf1860c,,24.8m sats,6.0,0372f6bae86ecbf1860c749e41a106446c4af1144ce8d5fe591375184b738fc5bb
2553,2652,2981,2976,2971,3038,3340,CRYPTOPUNK_YAYA,,6.8m sats,4.0,0363d5195290eca26eeca25a93f85fcecdb332fe831f397ec6655f7150425d4089
2554,1160,4128,2720,3075,2695,4349,qubi1,,3.5m sats,5.0,02b196899ff33d892562c557a37f56a3702f14eba8aee8585625ed8cf4217f2ab3
2555,3372,1814,3303,3018,3057,3435,node001,,6.2m sats,4.0,02f167bc48f7d304013e09b9cc5bb50e2204f7a8f76b9280b0cdf9c3745ccb5544
2556,3228,2746,2896,2885,3012,3185,gocharlie-lightning-node-1,,7.5m sats,4.0,02881003525adb05fef7f73eacc8f31903791ced708a4fc2680de08acae949006a
2557,4647,1120,2319,2061,2180,2014,freakyblitz,,18.0m sats,6.0,03f293d12737736d6aed764167f6a815811c225f21f9fd94610b00f44afc9f776f
2558,2451,1611,3332,3060,3206,4493,CryptoTxnCloud,,3.1m sats,4.0,033057f1498dfa2d199d58b50f270871de6b9a53c4fd0ecc7200650e342d415224
2559,837,5536,1562,2544,2084,5590,LightningPremium,,1.6m sats,7.0,02626318f968469fb1dcd0453536bbabaab8861be75d8cde7900e57aab1bd4f3ac
2560,3708,6143,2407,2026,2142,1544,WIR Bank,,29.0m sats,6.0,02b12d03d897d2d8fe8fa83b3234e92b79cde4beab24406a232ebdf82515906776
2561,2084,5175,3126,2835,2491,2261,The Ferryman,,14.8m sats,5.0,03caa3adae5555ab540b1b66d4c74d61bbb4f6b5281eaaa6f4c389cbdd8a63537d
2562,4015,4626,3008,2285,2426,1546,mynodebtc.com [myNode],,28.8m sats,5.0,02ffe45918866710c342ba1a16244ef3017edfbbd524fae1918d9715095035f7b7
2563,3467,1695,3369,2866,3074,3580,offchain.space ⚡✨,,5.7m sats,4.0,03260d9d6fcf84146444f46dc58cf2d06fd275fee37448f84c324e3598523f48d8
2564,4356,1475,2923,2184,2385,615,Hive,,1.3 bitcoin,5.0,03b8a68ccec65c43c657b5280d0f592e3d491f0799a090aff38d3198e126f2ff76
2565,315,3692,1965,2527,2373,7346,Bitkhan The Node,,566k sats,6.0,034ab300d9fe87b50d46e8eda166ef75a3f377cf4c8531f0c595924575f3485997
2566,4417,1488,3019,1975,2110,1073,どこさとし,,54.0m sats,6.0,02cea40d9abce36f1f8cda175ba1ba7c3e3a72c10b52647e1e9508dc466c639f58
2567,3621,1796,3463,2561,2667,4065,02826f55700185cd81df,,4.2m sats,5.0,02826f55700185cd81dfbe5a3eefd7d578dfe93c06f3ebb2646a3965d27cab7188
2568,2896,3164,2910,2827,3023,3238,Phileas Foggs,,7.2m sats,4.0,0275bf18e91a351a5aa211833226db901449fb08e986bc84f94a10774407b24da9
2569,694,4969,2388,2639,2722,4858,Grega's,,2.5m sats,5.0,0241e0f3e97edb6b3e80b5f1e779eba7808247af1a8c9324e592ef066e168ff833
2570,1226,5951,2211,3008,2574,3158,035fc1f06b55b448eb9f,,7.7m sats,5.0,035fc1f06b55b448eb9f8dc717b98784119307a6102952857bcce1de6e4810c8a2
2571,3518,1648,3633,2917,3036,3329,Turkiye Hub⚡,,6.8m sats,4.0,03f831ef129b0aef4eafa5c40043633edd2908b55957b4efc4a4b6b556d0051361
2572,1961,4764,2712,2536,2627,3610,NZ-G-W-Lightning,,5.5m sats,5.0,02a080a8b000e60109607abf4c8a5529f509d72d22e475fb5e0a9ffcdcbc038dbf
2573,1104,3801,3084,2608,2725,4990,UNITEDSPAWN,,2.2m sats,5.0,02958c403ec55d2281280afd4a4e564e63a04bf4c84b9cbb8d589f0b1683bc91c6
2574,3643,2984,2842,2508,2631,3623,NorthStar,,5.5m sats,5.0,0362a4372375bd24c5b8f8bb2ea85ae2ccf783808477e68cfb06121694b34d1927
2575,3373,2342,3379,2592,2651,3936,m0k_3 📡 peer.farm,,4.8m sats,5.0,025f735f59ac2f691e83f42f3ed7335f8883e651e7e3fafad37fc0f745cf015799
2576,2396,4771,2561,2582,2600,3321,0214ce18a94a4012ba29,,7.0m sats,5.0,0214ce18a94a4012ba29ea10984163cd4f53a78fb30536ea1b45379ec157e7591a
2577,1942,2358,3447,2997,3184,4381,pocbit,,3.5m sats,4.0,03f4d2fba5aa0ca3857a1a58ef86e08eead8185ca21957413e052bf3a456a927d6
2578,3195,6023,2766,2293,2411,1359,timothy-tailor,,36.0m sats,5.0,026e3301f975f514236ee47b433ef9d811429c1ae92087cf33b1c220086b50ca1a
2579,1177,3970,2446,3038,3205,4492,lightningSignal,,3.1m sats,4.0,032b38087244e6478c76818edb15b91760b531444398607d001d444ff11f72fe8a
2580,2535,1496,3788,2975,3176,4338,elysian fields,,3.6m sats,4.0,03835e0aa9dfdba1d4c8c7044105148d82357bff818b18383076495bf8b71adc31
2581,1030,2239,3255,3140,3267,5467,Ant2NodeLightning,,1.8m sats,4.0,034d5d2578eb8b1980cd28fd1cc11a243ebe780c3fdeb4a7486b6a9b140a27cf4d
2582,4406,1712,2430,2218,2395,994,libre.org,,61.0m sats,5.0,03e036c7da199f4dd1f2ea0eaedf2ba6142850553671cdc7d502ec382173ba9396
2583,1950,3297,3089,2628,2716,4694,OziachGaveMeRPB,,2.9m sats,5.0,02d211b9fc68b63268f7952e776fb77435756ef4a6073154bda09cb1b257a4a034
2584,1893,6075,2031,1936,1662,4718,DatschaBlitz01,,2.8m sats,9.0,03c2922b8a206f480a21c392c74862498816dc5f27c48ebdf739744ec332984f38
2585,1209,5688,2043,2336,2347,4745,mandeezy,,2.7m sats,6.0,02dc5bd7f44ae9f3875b46ee22cff30c1aff749fac2e73b65321c4c0d40fd89114
2586,3660,3975,3031,2162,2276,3198,start9-0x37c02c91acc583ea,,7.5m sats,6.0,036c831d191f9bc7303bdcb26d68c0c0ed07e53398cd6de50e2c6320d23ec8cfb2
2587,2945,1879,3345,2956,3125,4057,MySats,,4.3m sats,4.0,03fca46cc2cbdebb85c4687e33995c577474c45d66c811610ad256312dcc0e1a28
2588,4290,2695,4004,2998,3400,391,029d220352aff4e38f84,,2.4 bitcoin,3.0,029d220352aff4e38f8494ae4bc0fd8c51dece4ddbca0f74d4d7a6f3766c4f23c1
2589,871,4321,1991,2204,2088,6922,BITZ1,,898k sats,7.0,0342dd8568081ae1bdd852c0d9440dd22e4bbc432391975e6a1e1f2688e3ca6fc1
2590,4553,1336,2853,2362,1738,1680,Coinpayu,,25.0m sats,8.0,03a57b59e6a31bef8e83bea2bb9081ca13af55036f04a2bff399b0a266ddc9c097
2591,2265,2637,3885,3406,3503,2215,takkebos,,15.2m sats,3.0,0205a7323a43ac8e14c2ee6c470189ac29b278332808e5b73b4a6985368f5956ce
2592,2060,2914,2438,3069,3231,4732,cyphersafe,,2.7m sats,4.0,02cae65c7f03a9787b53b6903724d248ffc5a7908693eb385105656ba3f93c4511
2593,959,3711,2334,3137,3258,5072,ThorSonOfNoden,,2.0m sats,4.0,03d161683dffd698e8e23e1d1ed48aa65b2ad550722dbc0d0ab660808b9458d6ca
2594,3092,2512,3160,2879,3073,3574,03151c3e5d350d14b4c9,,5.7m sats,4.0,03151c3e5d350d14b4c9e0a1faab06a9549f962fc6e1b45753bd1da3765aa8d42f
2595,4433,1340,2742,2233,2399,1124,offchain.social,,50.0m sats,5.0,0375afdebf40f697cd34042253c15829732619eef7a4924e461405f6fa13e6e15f
2596,3622,6318,2622,2009,2138,1504,Stackin'em,,30.0m sats,6.0,026a1afaab383ee1512d07854d1406ee7cc26fb07f70bae07cf5f198dda7ad91f6
2597,4842,905,2166,2136,2234,2576,mynodebtc.com [myNode],,11.0m sats,6.0,03c94ac295881ab54d102e152b572fc9600fdf40db46699476da3266f45853d83c
2598,2947,2014,4130,3471,3467,1864,Mooo.tech,,20.9m sats,3.0,026ad2c304504fde71dc60f4b4d07d4c559c483f121d7202c8b1a8bedc9623626f
2599,643,3292,2182,2762,2758,6859,acorns,,926k sats,5.0,037bba3fec931587fa28061ca522c962491ab1e98c30836e9dd5d011895823d8ad
2600,2751,5365,2161,2448,2559,3025,CryptoChicago,,8.6m sats,5.0,032070588c31da61fac91e282bf17eb90488785a5e1e6fc89276e729e13bf15e09
2601,2086,6364,2452,2187,2039,3270,03205328fd2145525de6,,7.0m sats,7.0,03205328fd2145525de6ccfdcb41b9d45b4e48f6e0c8e03c4b9b3f73b3de79d2a1
2602,1800,4468,2580,2596,2694,4345,carryon-maximalist,,3.5m sats,5.0,030ac344fe3fbd7b29e7890a6849bd09d12f5a2096b0c0feb403e97b2b192f0aca
2603,1416,2927,2875,3588,3732,3631,Blubber,,5.5m sats,3.0,0343b2dcb9e8eb17a3ca674491ce391d804e4485478a7b5d9d1fea150fb6c060e7
2604,4078,4347,2924,2140,2238,2665,BIP300 is the way,,10.2m sats,6.0,021c673f0f6bf02e51189f77d6b5cf61344a01a575796da96d328486ae854a68bf
2605,2441,2910,3341,2600,2709,4519,festnoz,,3.0m sats,5.0,02088ac2c4c2649e48e0d01f72fac8b15219efec8d333c6fbb62441c40eca5f2ff
2606,4490,939,2871,2268,2419,1448,03f537c6e27969ea9da7,,32.0m sats,5.0,03f537c6e27969ea9da7665c51e153b558a890d0682ec47f9056e5c81b08dfb366
2607,4787,1025,2335,2100,2222,2428,Node is coming,,12.7m sats,6.0,0363de5ac509d3a59c3ee9ea292d58473adf3a02ef6ce5b5381f7e3e57590b5dd3
2608,4776,827,2577,2109,2219,2384,FiatFireSale,,13.1m sats,6.0,026651b2c2ccd59b53a310bba1737797b4f368c0847a61faa503e2892a71704d81
2609,3446,2587,3506,2864,2983,2935,CrystalPeak,,9.2m sats,4.0,03874157d7c053cd15e1d71096c33c52d84dcf69511ef68d8cdcc524189aa4c4eb
2610,2457,2135,3163,3136,3197,4456,glix,,3.2m sats,4.0,03e897edf5f8ab55ef376e688d01f2b660f113e130f781ade72eac8a804b335b77
2611,482,5151,1959,2690,2739,5580,fulmo,,1.6m sats,5.0,022c054341d73651e3cf20f2f2f57fa217e50e823811a4a24593f42b9b42f8cf64
2612,4348,2670,2259,2153,2383,511,eXch,,1.6 bitcoin,5.0,03dcf428cf623f70706353312a905216872bf0e2a5d95f02a0168918ed70bcf0c8
2613,2000,2164,4081,3078,3122,4054,Happy_McGavin_LN1,,4.3m sats,4.0,02505f2b96800db486842cfe9a1bbb44c16d22316761ee7439f2edbdbd8d49c2d1
2614,3540,2417,3462,2812,3006,3148,satoshiskitchen,,7.9m sats,4.0,03d9d537a422502f38c7439de1f4438c2115d0571e9222d3c6dde59198cfbbdc76
2615,2477,2720,2840,3039,3167,4310,02fa48fa6703a82c5215,,3.7m sats,4.0,02fa48fa6703a82c521561a2d52ffeb8929fa1cae205129b00e84ddc5f04ed35d4
2616,2952,2450,4064,3254,3468,1867,Forge Family,,20.6m sats,3.0,03799676e76c2be7b06716809d77fcca7962766079f168e47122bca812f4a10628
2617,431,6443,1213,2585,2085,5860,intothevoid,,1.3m sats,7.0,02c041ba7427dfead67452f06a7d475e9b8c812b17331b38415b24c869aa53ea72
2618,4488,1213,2684,2303,2417,1436,Green Ocean ⇋,,32.7m sats,5.0,02f2a6c3e0c70d946ee4ded2460b949b96fb8e6892d5ea1b05030a0d9889293dcf
2619,3589,4847,2389,2858,2490,2254,Eddy,,14.9m sats,5.0,02ef32467a65421a1b94937f26b34e908148b1480d72d65d4635c4825e5f20b55f
2620,2046,4674,2640,2549,2659,4031,NICONZ,,4.5m sats,5.0,0209f1958505977cc59e21717e11e15990d1b9dcf5af8163bbc74768264af07c58
2621,4333,1331,4207,3120,1291,233,031800c296bc29a25c00,,4.9 bitcoin,11.0,031800c296bc29a25c00986c16b752f9b01f8a08595ce92986df833a1701de58d5
2622,2163,2318,3401,2632,2732,5439,0319117eb1ed3b90b7be,,1.9m sats,5.0,0319117eb1ed3b90b7be6ca2e309afc61dff987154d8aa50a421fec0be51aa2b15
2623,4930,1148,1932,2154,2240,2741,03ec641f59855937c3a6,,10.0m sats,6.0,03ec641f59855937c3a687d703ba58a45bd12e9791e89b4cdc9503869ef3999d7a
2624,1262,8224,1972,2353,2483,2157,Vinte e Um,,16.0m sats,5.0,023b3e48089a60f32329ef5a714f6789fe708a5d0ceab387edf36210f601590a12
2625,1307,5783,2149,3030,2640,3707,start9-0x11695c7c02fcd9c2,,5.2m sats,5.0,034a20e8b5708e031a43bc4fb9e4a67d4b3465215d58b062f2d3f6ec0ec25fdb4b
2626,1176,9435,1405,1784,1644,3169,geeknewscentral,,7.6m sats,9.0,03e3024809ec66a9725c6cba9731eb8bc644fdb86da0ce8eaeb3a1463ac3395f33
2627,1840,3432,3969,3304,3495,2141,ctrb.io,,16.1m sats,3.0,037954a4b24066551b746a2a21fd3ca1b209faf3a67d6f8bbabe013eb3694a69fb
2628,2760,1691,3917,2948,3153,4154,AceNode,,4.0m sats,4.0,02ea1e6160d28b9c0588a0195ea1e94b43d27210048b4516197915e85ede4827e7
2629,4511,954,2951,2277,2427,1551,start9-0x8acfc53187e53be0,,28.6m sats,5.0,02992960012262be5891d59080007d18c85fe7b9b594198e5aaff9f5291fe32742
2630,4524,1073,2759,2300,2429,1615,03e1787e353340818467,,26.4m sats,5.0,03e1787e3533408184671ee5a4db1a1c00d4be33b81008014489eb2e33d2646c08
2631,3970,6621,2341,2013,2131,1444,Sativore,,32.2m sats,6.0,03ec621c123109c169d8c1366a6d58832d0b06ec7504ad4cbe05829f56d6aab1f0
2632,1669,3706,3113,3073,3113,3973,World_2_Falador,,4.6m sats,4.0,03dcb5541ae4330d784c5d3e6cba8f5950a422fc09138e7eefdfda5432e1c9c188
2633,4573,1198,2476,2305,2443,1773,three3s,,22.7m sats,5.0,0396ec20635d4b63d884d2737a838e7b0329e5ad44782b8321d0773541d0bacab8
2634,2996,6315,2413,2006,2017,2926,DerpyDerp,,9.3m sats,7.0,033f980f7aa26013eb1567fb54e31971c674a15479c2524241fd0deac857851709
2635,2216,4489,2369,2881,3078,3587,DaysofLion,,5.7m sats,4.0,02870c077874b6c294f6351511fd2eb239754ebfe91f6c9eccc980c94cecd5fa07
2636,3885,4085,3400,2359,2498,2326,DragsuggV2,,14.0m sats,5.0,035c4456f52f70bc2b5d55fdca73b63752aeaccbcadce3cf8ef53d7c9e37674c57
2637,1260,5171,2752,2954,3048,3410,⚡ @leblitzdick ⚡,,6.3m sats,4.0,02cf19b8ff79dbbd76350ad6ed8ea46f2150f80dc790536442ebf206aef451f220
2638,1098,6079,2164,2636,2340,4431,RaspiPuitz,,3.3m sats,6.0,028a7930a96f7a604014a8d6874004262ea64aea4def90839c265f8c7ff8a4b34c
2639,3230,4462,2961,2833,2877,2074,Cisleithania Plume,,17.1m sats,4.0,03efbb71263cfc10873a1826bdad0139cc46007a9ae33f0125913b8421ee840fb6
2640,1885,2175,3641,3638,3689,3421,Chufiti,,6.3m sats,3.0,03dc8ab6c86cb55120019f24f4d1ef87793d24c2b0f968cdf0c51e29f567b4a32b
2641,2366,2242,2954,3102,3245,4900,pay.milde.de,,2.4m sats,4.0,0237a3c75cc0931b83fead10772281ac0656beabef58b73cd0cf16cff462ccc560
2642,4543,915,2841,2339,2435,1681,03724e7a40de23e61f15,,25.0m sats,5.0,03724e7a40de23e61f151dec476ecae98b9d927cdf2752353086becad59f7b4220
2643,4430,1349,3083,2232,2398,1123,Forever Laura | CLN,,50.0m sats,5.0,02feff1aac3800e7a5cee219796cb824be3268f345befea2f2896a67fd2638b526
2644,1758,5766,2165,2111,2079,4893,LV-426 [Acheron],,2.4m sats,7.0,0290c9722262f78df35002923e202d67b53a51153d69970956862d984da1bc6351
2645,3304,3443,3256,2783,2969,2756,0342a82e858b7ed032b2,,10.0m sats,4.0,0342a82e858b7ed032b2054639016a6f398cec11b9428db269c61bfae150bc6870
2646,3061,2713,3556,2892,3043,3363,hydro-demo,,6.6m sats,4.0,031d6c5b05595b4d7632a6fe63bde014ce313832a66991e62b71c5a0fb88a00dbd
2647,2325,2722,3151,2995,3188,4393,jpnode,,3.4m sats,4.0,02e12a35304184cc4c6b9d3a85f3c5d9262403c335e2b01c4b6ed18cd838709c46
2648,1331,7286,2258,2428,2542,2749,02bf8c088aa0cd53ce4b,,10.0m sats,5.0,02bf8c088aa0cd53ce4b0ae2705bf2335df156964f2776641170e6724595bf2bbe
2649,1434,2091,3101,3655,3893,4487,beekeeper5452,,3.1m sats,3.0,02a8cef6b25f548a7d91aeb06bec20424d27b4114426308a5e6415449a0fa053df
2650,4593,1283,2364,2313,2452,1851,bc38fe,,21.1m sats,5.0,039b24fdf823583c918effbdaab3d522e8814722847f01a4a1ecf0f19c604b0587
2651,3727,2999,3437,2768,2959,2667,torogoz🥷,,10.2m sats,4.0,02fcb7149222c1fc70376b04d631d9fd86b01f268d65148bd8010cef799bf41397
2652,4506,950,3081,2274,2425,1508,Pyrite,,30.0m sats,5.0,036da281c0a6a658c05596f4df5f7c8276365c4b7d1bf77b16fee5fc81f980191e
2653,1128,4129,2568,3100,3221,4677,satellite-api-mainnet,,2.9m sats,4.0,03f21fc2e8ab0540eeb74dd715b5b66638ec1cd392db00009b320b3ed8c409bd57
2654,1757,5339,2831,2257,2327,4282,ayuslighting,,3.9m sats,6.0,02bdbb20c834e669df344ee772acf1a91292befde2ca52bb8b18976a2690430608
2655,2675,2827,3313,3059,3097,3740,KarlHungus,,5.0m sats,4.0,02e0812eafbf748c7f98300c940ef7490063858c0ae56fa6d0f2e234b777b07481
2656,1437,2972,2582,3946,3222,4692,,,2.9m sats,4.0,02e8984b99413d9bf3320376e83db130e85ca50c0b5f75478fce147c15dd223ba2
2657,3006,2811,3090,2589,2713,4668,the0ther,,2.9m sats,5.0,03590bc434aaba157588dc84b74c9ea543d33245d7848bc10f6a564ba3248ea68e
2658,3351,1857,3266,2982,3154,4155,02bddaf72ca254df3217,,4.0m sats,4.0,02bddaf72ca254df32179ee2178b2b95836dd0be8d0ae612c7e6691518a0ccdf5a
2659,4194,2628,4328,2672,2855,1833,Stygian,,21.4m sats,4.0,02b11812562c659d304bcb903fd65b20553146f89d433beb079455203be2745445
2660,2803,3056,3669,2839,3032,3282,Plebus Nodus,,7.0m sats,4.0,02a9edda359d2b2f0814cdbe80a10ef815931d68bcbc4bd5498e109187b34ce310
2661,981,1980,4030,3157,3271,5512,JRN0DE,,1.7m sats,4.0,03a6e8c14ace455f0bb3ada357e0bedd2a1e79fd8688d5ea633f7bd28467a624e2
2662,836,8228,1625,2186,1657,4302,CaptainChaos,,3.7m sats,9.0,037a4d44bfbc3e2fd2ddb8ca8ea3861ddedd626e98b18384ccf337fbe9b12f8b4d
2663,2868,4058,3183,2477,2626,3600,02ec55fdc9e8e72ce4be,,5.6m sats,5.0,02ec55fdc9e8e72ce4bed4731e99a2b1c99a499d522648d4b5368545a461a4515e
2664,3118,2426,3639,2884,3085,3617,OSCAR,,5.5m sats,4.0,03b4db8ab2dc634ba13ef9a5535924d5179fadb7841fad372f13b1a8f2df362b92
2665,3169,3051,3528,2810,3001,3118,⚡speedysats ⚡,,8.0m sats,4.0,02dbdb833323cf3e7713290f76d96089177752f34bc229b7560b494b52707df700
2666,926,4049,2648,2770,2746,5802,wookstar,,1.4m sats,5.0,032824b8e1eda7081692ab7884426c276ee937fd3d4aa6e5170f178ff866f909ab
2667,4385,1895,2982,2216,2390,814,lipa.swiss lsp mainnet,,85.0m sats,5.0,0375d3650413330a548484d0d25b855847dc13ff9239b8edc41c6758af126fa671
2668,429,5607,2290,3152,2717,4722,Toschi,,2.8m sats,5.0,02d9c3358eecbfef521dc81126a66ebcee5e780c4733d28c62ee57d4fde74a967b
2669,232,2016,3839,3041,2374,7425,f9node,,514k sats,6.0,03043f4836a31a433a673ebe346f9a20b91002cff050204777e6c1fa65a8d1e8f1
2670,617,4683,2198,2242,2089,7092,0301ebfa82d61c308eae,,746k sats,7.0,0301ebfa82d61c308eae9edda8efb4f0377cc5e82dba227cf216d207850441a6c1
2671,4997,974,2386,2132,2242,2743,Marc,,10.0m sats,6.0,02bcdbe86bdb417ed2254a243fbd2848705ab20202845290d9972ae16de82c9a4c
2672,1414,2490,3559,3826,3725,3594,BTL-MAIN,,5.7m sats,3.0,027208d43d94fa830417a0e730d12cd11996d5cd62df2e210cdc48464feaafd3bc
2673,3370,3273,3965,2919,2264,3058,DMN737,,8.4m sats,6.0,034a550b66d0b57726fda3802695b80a2bfccde88fb4a6acef425f676c9c9b1999
2674,4555,1266,2711,2289,2437,1695,NanooNanoo,,25.0m sats,5.0,027fa924e3390a8b4b9aa11e38ce3ce6932e2d0605125798d3cb5846fa239d82fa
2675,1111,5906,2496,2617,2672,4127,donate.sparrowwallet.com,,4.0m sats,5.0,020a128145c54dec1c1d72e9bf0ec26759d1e16b9a7bba1453e1fc2b4cec6a6fbd
2676,3488,2775,3990,2802,2962,2695,pollofeed-node-1,,10.1m sats,4.0,02e9abd50c0d0868eb8ae081dd01d885a395379c9a4c108a4565c81c45c9ca9d07
2677,4096,3150,2791,2245,2335,4340,onlybestoffers.trade,,3.6m sats,6.0,0260286c77290cb797a9996d186328697046419112e4542d66395ebf78ec74c522
2678,1251,2934,2885,3127,3279,5556,zynos,,1.6m sats,4.0,026a5fa7f8f26f9731420584a122dd628e0a4a97eab3e443c2ed86d312e314c8aa
2679,3033,3144,3246,2576,2679,4278,VIOLENTWHISPER,,3.9m sats,5.0,038d4ad4f41080f81352ed3fc8f5a5a021731dae82a443b8cdc07651d5ac7cbb40
2680,2559,1970,3649,3440,3670,3351,Black-Box,,6.7m sats,3.0,02c0f3d5a79279bb223108bd621ad048d45e16391ced49dbe9994fb5d3a67623b9
2681,3156,3090,3715,2803,2994,3012,Aurora,,8.8m sats,4.0,0282c03304843150091acd28fbbd2341d73571004ecd48b1da1e34844010c74f88
2682,4494,1361,2912,2267,2421,1460,039947a98b84480dc678,,31.6m sats,5.0,039947a98b84480dc6780ca4953c6fa7a5e821db86fd593ce249466d5d26cbb987
2683,4338,1263,3282,2529,2793,419,[Taiwan] ShinOtsuka,,2.2 bitcoin,4.0,028ca942be25308d5077811a2c2a3e18dcc25267d39ebff9081e3deb8124a45317
2684,2550,3348,2975,3098,2693,4341,COBO2BOFB,,3.6m sats,5.0,0304438982cc9afa1e8c089defc606ad96f21ba7b6ee3a9e85ed5bcbaeee84e70a
2685,1433,2655,3357,3856,3203,4478,Softservice,,3.1m sats,4.0,0315e046ad3b7b647c0b1c47beedc372f227a21a606feb059828fd680caf70ab00
2686,3740,5791,2592,2108,2224,2434,blitzdings,,12.6m sats,6.0,0308c5e0c438d076046d61a80e8402f97f6ec240ed3f0ea6a052e49df377ed31ca
2687,3935,5226,2988,2318,2453,1856,All2Easy,,21.0m sats,5.0,02c8d459ca90b8b659740878eebe339e31763b7535200908632c12e49318c0d543
2688,1342,5941,2687,2805,2996,3042,Z,,8.5m sats,4.0,02b9f5eaad9609d209e4acf1411bd1346d012ee06545fa2cbef2de10a3e5fbf7e0
2689,3867,2537,3689,2818,2979,2912,02d459fc75c635ee2852,,9.5m sats,4.0,02d459fc75c635ee285246c8ada565f3eaa7c91b553be7a5e48878d0f73645b744
