Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
390,584,271,321,31,34,,,Only Tor,8.4 bitcoin,50,02e1221434a21b8ce5818e92c6ec76301824dc87ed94b4628242e4b1f4a6ff445f
569,830,764,511,473,36,mainnet.lnfi.com,,Only Tor,8.1 bitcoin,5,03cabeaa1223b83d56954e944e83493d20c6b2c9b45e47b62a899ab9d7d31cb56d
27,22,40,91,19,37,The Captain [Coincept.com],"LSP, Routing",Only Tor,7.6 bitcoin,74,0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df
390,584,271,321,34,38,,,Only Tor,7.5 bitcoin,45,024729f3d5f7794f4df09bfdb7ca23a4fbe6c38997cdd213c694a2cca1c27cbb17
118,218,264,243,83,39,The Bitcoin Company,Payment,Only Tor,7.5 bitcoin,24,026ec3e3438308519a75ca4496822a6c1e229174fbcaadeeb174704c377112c331
390,584,271,321,37,40,,,Only Tor,7.4 bitcoin,44,031fab3f6a8ae8588668fbe4bf4cae14c3aaa4134330b1798b81e60aaf9662ff20
21,31,22,17,19,41,xmrk reloaded,,Only Tor,7.1 bitcoin,74,02cad4ec4c8b0dc2c7035a1898f979c8c7169bdff74e01ad6ca7aea59d85c59e8b
337,669,313,262,343,42,Snow,,Only Tor,7.1 bitcoin,7,02b7291fcf57fd64cb9610beedf37eac46212762608813ccf8090520701b94ae62
11,12,64,61,51,43,LNBϟG [Edge-1],LSP,Only Tor,6.6 bitcoin,34,0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0
2,2,2,2,55,44,OpenNode.com,"LSP, Payment",Only Clearnet,6.4 bitcoin,32,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e
118,336,341,252,90,45,adam.masterofpearls.net,,Only Tor,6.3 bitcoin,23,029efe15ef5f0fcc2fdd6b910405e78056b28c9b64e1feff5f13b8dce307e67cad
265,181,106,92,211,46,connect-to-this-node-please,,Only Tor,6.1 bitcoin,11,026c2595bddf44ca1eadb65ad26942b325616690d104442f8560a7faaf67c4c323
90,220,227,138,66,47,lnd2.blink.sv,"Wallet, Payment",Only Tor,5.8 bitcoin,29,02fcc5bfc48e83f06c04483a2985e1c390cb0f35058baa875ad2053858b8e80dbd
152,548,330,246,124,48,OneKey,"Wallet, Exchange",Only Clearnet,5.8 bitcoin,18,0378a5312ca36773971df43f833b571d024fd7d5d216fbdf7e241b710714ef1be1
32,30,14,22,73,49,031015a7839468a3c,"LSP, Wallet",Only Clearnet,5.8 bitcoin,27,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0
20,42,235,34,10,50,LQwD-Canada,LSP,Only Tor,5.7 bitcoin,95,0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1
235,313,77,66,232,51,LNChamp,,Only Tor,5.7 bitcoin,10,0261239197442bda65c9933359bbcba72e89f3e77ca87edd7be2e4bf7ba9218117
59,99,125,139,46,52,Rust-eze (now BoltTrustiC),,Only Tor,5.7 bitcoin,38,03e81689bfd18d0accb28d720ed222209b1a5f2c6825308772beac75b1fe35d491
166,164,96,56,159,53,䷯bitcoinwell01䷯,,Only Tor,5.6 bitcoin,14,028a3a69336f1c21b584e826293de1feb81435dcaee927e6b58dd76385142da044
80,199,363,227,40,54,OpenNode.com,"LSP, Payment",Only Clearnet,5.5 bitcoin,41,028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4
39,87,151,69,33,55,Garlic🧄,,Only Tor,5.5 bitcoin,48,033b63e4a9931dc151037acbce12f4f8968c86f5655cf102bbfa85a26bd4adc6d9
32,26,4,8,96,56,TangoBolt,,Only Clearnet,5.5 bitcoin,22,0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877
141,411,239,161,80,57,Speed2,,Only Clearnet,5.4 bitcoin,25,0282ccffe2f7fd63b0d68528dab9cd6cff8f64733d2d730c3eb8fa81e011da930e
152,157,73,73,145,58,Azteco,Payment,Only Tor,5.3 bitcoin,15,02abfbe63425b1ba4f245af72a0a85ba16cd13365704655b2abfc13e53ad338e02
