Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
5736,6345,6491,6568,5754,3979,FREIHEIT152,,Only Tor,5.5m sats,2,028f0ba97584eb928c2746bde8fd48e83ef2bf845412251618d2bbfcf244357c1a
2555,1824,647,1862,3335,3979,PirateNode,,Only Tor,5.5m sats,4,0350ba80f5581b5b4a5dde57771e8fc1345b1091c435c43450b3f74cf264cb3677
2981,2153,801,1655,2779,3979,Corsican Pleb ⚡ [LND],,Only Tor,5.5m sats,5,022353df34d551262620328d14e787bc7806deffccb8950edbee6e6bcfb90604a3
3588,4473,4256,3830,3335,3979,mucuchies-lacrypta,,Only Tor,5.5m sats,4,0313c12d113471a820c86ec0d1d3dbb7fa5fbd72f1be4a7372bc636fe7f10c3b52
2555,2459,1564,2401,2385,3979,MutenroshisKameNode,,Only Tor,5.5m sats,6,021fd827c232f2088ed5f60ab0dff64cdbc67907f066e6800b17845301a52865d3
9999,9999,9999,9999,9746,3979,026865dadc6e1d5a9140,,Only Clearnet,5.5m sats,1,026865dadc6e1d5a9140ec5e0fb1fb79ba045d2c88f025c2018192dba3a82547db
5736,6345,2407,3199,5754,3979,,,Clearnet and Tor,5.5m sats,2,020ab73bd3f5325dc1c29c9179874f380151c938b068a31b8134c4ed744071af86
2555,1873,5149,4312,2779,3979,1337GER,,Only Tor,5.5m sats,5,03e1e87c58913e534744ab039b1c4422a5f6226069492f246daed2c4e90e1049ed
4476,3484,1864,2495,4187,3979,Sparky,,Only Tor,5.5m sats,3,022c2e439f25adb469b161cbed4f9e0a44c05c952ed350619c309bec0480461a79
9999,9999,9999,9999,9746,3979,nodl [LND],,Only Tor,5.5m sats,1,02e8f62e6f76ba5b73a30be879c6b6c69453e4369e23203d5eeac3b8008d541d13
4476,4285,5951,5984,4187,3979,Umverteiler,,Only Tor,5.5m sats,3,03b3609e203204771de44534927815f197e1096dc19ad37c4e7097ffb3830d1567
9999,9999,9999,9999,9746,3979,magic internet money,,Only Tor,5.5m sats,1,0340ae1420ec1dc7f51b5d282ac078ba222ec8015fa1464b9bc858054bc8c6de3c
3588,3536,5241,5159,3335,3979,eniac,,Only Tor,5.5m sats,4,02a78f8d5385533e8d48650f9e627ea3283df92621c147a400f24196f0757f8006
3588,4642,4010,4289,2779,3979,Cryptogator,,Only Tor,5.5m sats,5,031e227dff218ba420ee6262ce63aad1cb7d7e6deb1ec552a76d02c34b71c1112b
9999,9999,9999,9999,9746,3979,0368aa1f025eb3b133b2,,Only Tor,5.5m sats,1,0368aa1f025eb3b133b248d0511d81ba9da0cf900ca542710ada99bd131812802b
5736,6345,4869,4426,5754,3979,LOUDCHIPMUNK,,Only Tor,5.5m sats,2,03f77243f42e9860c17727ce7596af2aae0e0c1462925a4dc98bf6fc44012d5b1b
5736,4568,4412,3795,4187,3979,Blubber,,Only Tor,5.5m sats,3,0343b2dcb9e8eb17a3ca674491ce391d804e4485478a7b5d9d1fea150fb6c060e7
2555,4964,5039,4674,2385,3979,Poodle,,Only Tor,5.5m sats,6,031f248d25e0ef7f7f768df6b7ba90d7a39d5ee6c36dd09aab0808c9eff9a36d39
2246,3529,1074,1624,2385,3979,MikronNodes [Билиния-2],,Only Tor,5.5m sats,6,0345f9d15dff2021d7cb1537314022893d3976a85bffd9ea828e0eb673fea4b27d
2981,1919,3180,3750,4187,3979,Voltzard,,Only Tor,5.5m sats,3,02982490ab07efc5066a993b35c236ac69cb4263bc404f90975ed21335e71c3258
3588,4499,4958,4551,3335,3979,Popeyes Ghost,,Only Tor,5.5m sats,4,023767201140dbd4c726e96f8878b4d2f39902ac758d20cbc770ee27a386f9ba8b
4476,5353,3957,4155,3335,3997,0283686c41c714c727f7,,Only Tor,5.5m sats,4,0283686c41c714c727f760d0a75619cc0af2ac4eb26af46e0b37e76c631deb6542
2555,1009,2960,4090,3335,3998,GamboBit,,Only Tor,5.5m sats,4,03d511f6a1811ce9d01cf65014d61b7de7570a990ab670791831740c653233df21
5736,4882,4983,4444,4187,3999,alkaline,,Only Tor,5.5m sats,3,034fead064db4a4e9b4d546a2782dc890aaf53e7540791c2270307189f216be1ca
9999,9999,9999,9999,9746,4000,LNBackboneCA,,Only Tor,5.5m sats,1,03b95f2370e01edb922ec243f9741701a6a3d112b3df8f62c7a08d9f5cd71ebfcb
2981,2647,4685,4790,3335,4001,Connection_Matters,,Only Tor,5.5m sats,4,03b637cd8ff2ed08346f21a5cf05d51b4d80ed9dc3c99158d805c5e8dc644d8a02
9999,9999,9999,9999,9746,4002,LisnaBTC,,Only Tor,5.5m sats,1,0266495f2fb6c1da4cdfd1d1fb3593fa8de80f60f9c4545096f1f2e8554723a968
9999,9999,9999,9999,9746,4003,Panem_et_Circenses [NodeNor],,Only Tor,5.5m sats,1,02df6ea5e1b6745b70a8964a6ddc91f54536ed6cc7a2d39f8bc99adbaa64179865
9999,9999,9999,9999,12906,4004,DECOUVRE_BITCOIN,,Only Tor,5.5m sats,0,02f1dd194c270b5ffeb9f3418ab5bd37e20e85107d97d0285ccdfebf5ee62c397b
2555,1675,1147,2514,3335,4005,HAPPYROUTE,,Only Tor,5.5m sats,4,023148d9e853d515ba87ff3ad98c0cb125c0855756e5dd811a857211658c4240a8
2246,1006,2675,3627,4187,4006,031ff2a08e6ada312980,,Only Tor,5.5m sats,3,031ff2a08e6ada312980fc0cc4bbe380bc4c28bdd0fd76f4ca2753c47c91c61bed
3588,4314,1476,2045,4187,4007,DonkeyKong,,Only Tor,5.5m sats,3,03857f8a9626a9f20a0bab096956abe50aeeb3a67fa33735f939d64df5eeeb7cdb
3588,1806,3450,3927,4187,4007,BitcoinStewy,,Only Tor,5.5m sats,3,03e3fd8a68b7be7e2dfdb49c2bcdd37bab3aee84c956474f858eff438dae5dc805
3588,3184,5552,5114,2385,4009,digio.nz,,Only Tor,5.4m sats,6,02f185ee2d0f49d3ab301d89cffa1f2c490cf47378f3a99b3808408fc3357eabe6
9999,9999,9999,9999,9746,4010,nozomi,,Only Tor,5.4m sats,1,0356be6cfe1a94eb09564cd51ad9d5fda4f90a7f8c6832cfb8c993f8be2a0a68d7
9999,9999,9999,9999,9746,4011,mynodebtc.com [myNode],,Only Clearnet,5.4m sats,1,03c2c55aaafd3af3d6b7eda7c542c1969a206ce5ae34061a2ae3504f2030ba30eb
2981,4112,3668,3106,2779,4012,jpnode,,Only Tor,5.4m sats,5,02e12a35304184cc4c6b9d3a85f3c5d9262403c335e2b01c4b6ed18cd838709c46
3588,3435,3890,3509,1566,4012,03bfe6723c06fb2b7546,,Only Tor,5.4m sats,10,03bfe6723c06fb2b7546df1e8ca1a17ae5c504615da32c945425ccbe8d3ca6260d
9999,9999,9999,9999,9746,4014,Alianza Blockchain,,Only Tor,5.4m sats,1,03cb3eae226f60827c667bb6a6a0f1ef2361373c3f091d7793568207195566875c
2555,2977,2456,2688,3335,4015,Ada1st,,Only Tor,5.4m sats,4,033d61589aac2d743e3a5e3fead6a752d63dcf15342dc326f28ce0440a91cbbf73
9999,9999,9999,9999,9746,4017,clnium,,Only Tor,5.4m sats,1,022f3fb4ce96a8b8ab353963474f08f6f8e7a2ef779c842eef5ba47f5a5f75c325
2981,4078,1597,1471,2779,4017,Catedral,,Only Tor,5.4m sats,5,03c352103defd6e328ca913e35acb9485f005192630b2653fdd240bcdb70d8b1e0
2555,2101,2451,3342,2385,4017,AzD🔥 ¯\_(ツ)_/¯,,Only Tor,5.4m sats,6,02aabe7aa2c14f1cd9bd58080195b8b3692dcd342e071c169357136eaf55a2c2bc
3588,967,6012,6196,5754,4017,Sunken_Colony,,Only Tor,5.4m sats,2,03ce0d665b403fa06f9390c72f7a1b212096da7e0f491106bbebf5f34773264a6a
3588,5082,5511,4665,3335,4020,RSMC-Lightning,,Only Tor,5.4m sats,4,02fb51afb21c6a80c45b0f097c579a02e02478c7c294a9e6b5baebf45d47376bdd
2981,2718,4326,4451,4187,4021,BWNode,,Only Tor,5.4m sats,3,02ba2ce99ad2eacdf57824081ada31114beaaca93dd6eee90d93a6e95852878ed5
9999,9999,9999,9999,9746,4022,YOLO,,Only Tor,5.3m sats,1,02ceb225cb931ada540870dc8b3a1ac88544f3825fb5046c1965c0f5998b6614a7
1796,3200,1436,1442,1728,4023,027a7d2d98bae09fc595,,Only Tor,5.3m sats,9,027a7d2d98bae09fc595c5bfa711ad2d54b4d427312a67dbc496db012b86a27dbd
4476,3439,3056,4025,4187,4024,AnimalFarm,,Only Tor,5.3m sats,3,022765078d87f3dc98a6718dac5d300e75b2bace579df5e00a5b72c4ec7f8f628d
3588,5127,6253,6513,2779,4025,SatJoshiBlitz,,Only Tor,5.3m sats,5,0377e2ee1718b32b9554b6e5a748c756f057775e14e7b166765ee7d39bbcf267c8
3588,3144,3309,2830,2779,4026,njvijay.lightning1,,Only Tor,5.3m sats,5,03587c1a124914c2a852b79fdb036eda9593870594fa3b0af0b215713933dde934
2555,645,5187,5314,3335,4030,CheeseRobot.org,,Only Tor,5.3m sats,4,03da872791c43022c0bad6dc46b0e5f2fa7b92f635aeacf1aab55285cf41343e3f
3588,3988,659,1496,4187,4030,PurpleCats,,Only Tor,5.3m sats,3,02d5cc417b20f3c158986f97f1cf3970bec05f1e26b52b234ee22eec517461e8a5
1633,1110,2159,2888,5754,4030,serjant,,Only Tor,5.3m sats,2,030059ea3a156fd36b4826a171989bd48fd83baf829864feab3fa807b42943b220
2981,5191,4941,4010,2385,4030,WMC nodl [LND],,Only Tor,5.3m sats,6,021e5ed497d58885a12e5ea7b5bdd233887ea319a3930a0012c01d670b6d55c8d9
9999,9999,9999,9999,12906,4030,coincoin,,Only Tor,5.3m sats,0,03bce1b91fce34ed76c35d599688b620cd0043b04416a9bb6cb7871bfbf4560591
9999,9999,9999,9999,9746,4030,03f61ea0985a11b60602,,Only Tor,5.3m sats,1,03f61ea0985a11b6060270245a7a84b273c502168bbeaa01fb5fa0889a61bf6850
5736,4708,4523,3923,5754,4030,ppad.ain.1,,Only Tor,5.3m sats,2,02ce6b5e10b8f7a2ea9190003422c744b6ae3bc051393da92d95f780423ae08cad
5736,6345,4542,3906,5754,4030,campion,,Only Tor,5.3m sats,2,02d441f9b033e7f67511bf6e97934eef93fc9f1757c56201846e17a015250b8fe9
9999,9999,9999,9999,9746,4035,KingsFall,,Only Tor,5.3m sats,1,03fef0d5d70eb951e55aec0b6c76c685def8ae1d536e7bef5ff17947fc2beba543
9999,9999,9999,9999,9746,4036,Perogy,,Only Clearnet,5.3m sats,1,0317a21175c77f374c329410e6ce00191e73104221e37aa97f9920d6cf5ace7e71
9999,9999,9999,9999,9746,4037,02317697f8db51fb043c,,Only Tor,5.3m sats,1,02317697f8db51fb043cfdb05f1d4e41f1dd1c10c4495d083e2da00e41e65b7c9e
2981,2227,4955,5364,4187,4038,WHENBTC,,Only Clearnet,5.3m sats,3,0200424bd89b5282c310e10a52fd783070556f947b54d93f73fd89534ce0cba708
5736,5532,5208,4882,4187,4039,SaigonOne,,Only Tor,5.3m sats,3,02bd3f46f05535512669e2b2b4b6774f0310b34c657854744d5c008d1232407aab
2981,1258,4388,3576,3335,4040,LNBuck3ts,,Only Tor,5.3m sats,4,02c5e562009cc7985457e505cf7a5477c8f68f180a68e01d61323e901af7bb4865
5736,2208,5808,5944,4187,4041,taproot,,Only Tor,5.3m sats,3,03fbecf1f91211dc3f4221a8e8188b47cd2ba769674a894dc89e29ce782a2814a7
4476,3491,2799,2987,4187,4042,CMD_LN 🩺⚡️,,Only Tor,5.3m sats,3,03fecf0d0ca62b0a10f38a5e5529ce74a2188cf1dfe2464c20a2c216529de22389
5736,3834,4589,5341,5754,4043,mynodebtc.com [RedDirtLiquidity],,Only Tor,5.3m sats,2,0270edafa9e240c011369a12caf250ebb77ed3d820ed14f71a1ab7d43b840b242f
5736,2890,4641,4040,5754,4046,0301c096a85bac1c5182,,Only Tor,5.2m sats,2,0301c096a85bac1c5182cb1506b104c6c9de42a611565ffeada8846a01aff0859e
4476,3994,1854,2341,4187,4046,039d4b19cb2a2110f32a,,Only Tor,5.2m sats,3,039d4b19cb2a2110f32a69a0cd046cc09e1629755244dda8d0ba8ba949bd98f509
3588,2039,2228,3278,3335,4046,guoduyule,,Only Tor,5.2m sats,4,03b61356adf2b413ea28a56737b69c7b91660b244cfa78e672f4c9558b5b9a0df3
2246,4771,5896,5564,2121,4046,ThreadOfA,,Only Clearnet,5.2m sats,7,03d9bbbb2e361a7c66df97b524d00ac895a04c9b3e5414cd55c1856e1fede4017d
2555,3492,1097,1786,2385,4046,Initech,,Only Tor,5.2m sats,6,03e3485ad13855baeb5ea96b0b24ce4ec17d9e748fe41fe854443df211e357f505
9999,9999,9999,9999,12906,4049,KicomLND,,Only Tor,5.2m sats,0,032be0dd6f553c93ebb1b18520dfcc83d2b24d2c225b613434a59730762362051b
2555,2993,3819,3718,2385,4050,FluxCompensator,,Only Tor,5.2m sats,6,02467fe55d23e8d56a9364dd5b2b3919043efcf76cd0cc6f20fc3f5208e30408f3
2555,4792,3409,2455,2385,4051,b3|LN⚡,,Only Tor,5.2m sats,6,02b2f4e8975649fe4aacdec4a45d4fa08fca5e6f43345b602cca038e6d4d14fe5a
4476,5475,6046,5827,4187,4052,LIGHTNINGWHISPER,,Only Tor,5.2m sats,3,02e064ad7a8324af2b79d6797248e0e6958827f47094e66ce69269b464a90e251b
3588,2122,1340,2975,4187,4053,Syndic8r,,Only Tor,5.2m sats,3,0382009f8eacea9bd6e62d1fe5b0eda2e58a672a0197fefab7c3f6f7856b210c4e
4476,4198,2240,2821,4187,4054,Crazy,,Only Tor,5.2m sats,3,0364d6ff27ee48dd409e088e6b57abbde6623de80113ff29cb19d6169688fa318d
1796,1552,3073,2012,1427,4055,satoshi,,Only Tor,5.2m sats,11,03e516b16a1a92565f74a3a7b84d5faf8b7a00e83af25f16cf2827d833e568f7ff
2981,2506,4849,4378,4187,4056,Pluke,,Only Tor,5.2m sats,3,020a9442b1daee87f771203cf78e1d6c1468f525ecc1a8fde027bd20582b8f6962
2555,3783,1236,1252,2385,4057,hodly,,Only Tor,5.2m sats,6,021039b778fb9ce9e349c39f9b5ed7aaab7ee94c43b9c079d3c5cb8b38b919ef99
2555,1422,1008,1539,3335,4058,03b83404feb66eca08b2,,Only Tor,5.2m sats,4,03b83404feb66eca08b2343579c7ac09eccb1035ff07cee30a0551e071a9c26b0f
9999,9999,9999,9999,9746,4059,ConTaBlitz,,Only Tor,5.2m sats,1,0266f77cf9bfd47bf52aabe347a1fc2f4ef7866109c69ed35d25e5e01bf1a5e521
6624,6345,6496,6550,5754,4063,Kutara,,Only Tor,5.2m sats,2,02a3598bdc040dfd65d5da21175c142a3762616898e9db1ad0b69ba97b52d3e845
5736,6345,5920,5263,3335,4063,SatoruNode,,Only Tor,5.2m sats,4,033ea211f65e78fffede9130943840c1aba9eb6ca5f360adfd881ff155d2fe189f
5736,6345,5920,5263,3335,4063,foobarsatoshi,,Only Tor,5.2m sats,4,034b0fe00ece46b2bc978558fbca1e273896795c1e2448730abaa33aff73f12b33
2555,1269,5866,6113,4187,4063,02a6c56279238ba23d30,,Only Tor,5.2m sats,3,02a6c56279238ba23d3097adcb6a020c96005adfcbc47fc2aaf2d998c2ad24fa3a
9999,9999,9999,9999,9746,4063,Parmanode_LND_10010877,,Only Tor,5.2m sats,1,03b4572ea31a8f58f02dc85d945c611c94432c72f95326c01b34a14e51eea712f4
2555,3592,5854,5924,2385,4063,BlitzKrieg,,Only Tor,5.2m sats,6,029f8ee278f3098084c9695c1cd29fa7d6f8d27d0dd30f3b066cef16015a0812ea
2246,1492,1074,1225,3335,4063,Liberty,,Only Tor,5.2m sats,4,039021a5b9801f925b4cfad70cca14aaa257ea265cd994233439967311a55fa6b2
4476,5839,2483,3335,4187,4063,03312fbd930e1902c3ed,,Only Tor,5.2m sats,3,03312fbd930e1902c3edf8161a663be8f16ce36378caef37278f2f161ec5fe18f3
1796,1613,4219,4081,1566,4068,Pew Pew Pew!,,Only Tor,5.2m sats,10,039dce5f4f268060d7128267caba658a7e8cd0effaeb81f0daeef843ce2b22110d
9999,9999,9999,9999,9746,4069,CafeKnoll,,Only Tor,5.2m sats,1,03932179f4e20fcd850fb90dca6297cbfb2a1c1ffb3b3a8a10a2894c9b15a75fd1
2555,2205,1192,1317,2385,4070,HostMania.eu,,Only Tor,5.2m sats,6,024a300eabe0a72628af344a9112405a0dab3a07de31086ec81933f6915a45f760
2555,3603,1225,1217,2385,4071,argulunode [myNode],,Only Tor,5.2m sats,6,02fbd317aef57f0007dbb3acd1865c8ad9a6491c9e9d82dbee5d0d3d111fcf480c
1491,2913,3930,3580,1316,4072,WorldWideCobweb,,Only Tor,5.2m sats,12,025346e84f1343ce9c54dc875424badef63f5b4d63d9e935f2d9b0ac212239bccc
5736,5649,5676,5014,5754,4072,LichtenHauser,,Only Tor,5.2m sats,2,026d4a5a0cfa2cf1f6bbf59ea53701e7f8e0a4dfaedefc56760f1d2e86b5d5d615
1999,1903,738,2101,1914,4074,chikenparm,,Only Tor,5.1m sats,8,03f9bf1cd6c76303f58efef697fc54e87731fc533503dae65d45e0951d93550c17
9999,9999,9999,9999,9746,4075,latitude55 [LND],,Only Tor,5.1m sats,1,03a74879f51fdf9af8eb09ce6249225e9e2d24e0ec4cc9de3be4461402be2a1ba4
6624,6345,6403,6503,5754,4082,Settle Up,,Only Tor,5.1m sats,2,0284c83404b87d1f6542f3bbf70e19a1d811bdb8de30b900c82fe99e4fb8163892
4476,5051,5891,6083,4187,4082,nodl-lnd-s007-001,,Only Clearnet,5.1m sats,3,02691fbf5f161d13640d2c8bc1fcb47a601badfaf5b82e892d75376e3bf540a590
2981,2106,1949,2851,2779,4082,OrangeCoinOnly,,Only Tor,5.1m sats,5,029a4be655e0adf185ee06ebb71c559b138d474f466661538f45aeba41fa6008ba
9999,9999,9999,9999,9746,4082,Embargo,,Only Tor,5.1m sats,1,03e3b966b1c543f89704e7324a770718905ad80bd3d58031a7662999a8b1b04c07
5736,5472,5924,5498,5754,4082,020c63f44d4ca7f4ccb2,,Only Tor,5.1m sats,2,020c63f44d4ca7f4ccb2e6b837ae36d9f968c49cc63a9d51511471c105199a627f
3588,1210,4517,4246,5754,4082,ExitFiat,,Only Tor,5.1m sats,2,03ae76d355e494300fb9211a032250296ceb7a63de56145fcb4b29359c9db2c27d
9999,9999,9999,9999,9746,4082,⚡️ESPAVO ⚛️,,Only Tor,5.1m sats,1,0364f95c0a55f9448f9e5f7d3492737d4edba6653be69dfc1ee582583c64d85cb9
4476,4520,6138,6177,3335,4082,023233e57c71a003a83e,,Only Tor,5.1m sats,4,023233e57c71a003a83e7e60e7071214a1ac0cc467a02f9979b9019cb9a3e23e00
5736,5250,6143,5969,5754,4082,battosai,,Only Tor,5.1m sats,2,02a46e9502a5625b8a6d8b45e2653f2019b8e205ff41cfefe447a660063afe4d87
9999,9999,9999,9999,9746,4082,Pnode,,Only Tor,5.1m sats,1,024bd0783a1720b80b38e306d4966e27544fc5ddf8ea33cc18d4594e32b115bb15
5736,3657,4753,4041,5754,4082,02fa025108e90ee67836,,Only Tor,5.1m sats,2,02fa025108e90ee67836c7b11001addf70428e4e8ec3cb0484ca207eca05a457cb
5736,5220,5969,5662,5754,4082,fruwum,,Only Tor,5.1m sats,2,02c89ff936462b7dfa7ca58b9b65be77c8e1bf39479308aeaed256ad8a5e4f1b9b
2981,2720,1629,1853,2779,4082,Strawberry,,Only Tor,5.1m sats,5,022f26520239b8a2eed4f5871687ea97a9c17aaa29595ace6057a7fee8d3737511
4476,4725,4874,4254,4187,4082,GNode,,Only Tor,5.1m sats,3,03fe96141468ead75d2ae38902ce91a6fb4dc6db809651f1c640f644091115dbf1
2555,1512,979,1970,4187,4090,frightening,,Only Tor,5.1m sats,3,033033d0a3279d91c366c22932d1ef6cbc906ead5cf6d1687d81bb79217bdeca68
9999,9999,9999,9999,9746,4091,INU USULUTAAN,,Only Tor,5.1m sats,1,02b4307f5047549aa5d21d00b1f587426443f8edb2078344c856511332855cd9f7
9999,9999,9999,9999,9746,4092,Nodetastic,,Only Tor,5.1m sats,1,022559c3facde821f297a612df021abedec75b9d518ab28509ea637848821d3c84
1796,1471,515,1582,2121,4093,03790e10c296b12535ba,,Only Tor,5.1m sats,7,03790e10c296b12535baf03738765163dadf91ae1f48a6a6d074a6cf910d26d8c4
9999,9999,9999,9999,9746,4094,hellasbit-lnd02,,Only Tor,5.1m sats,1,029752013c9e2f4474aadb4494f9ac010b8a4c149c0561a08eda2f2ab675ebe813
9999,9999,9999,9999,9746,4094,Dipsy,,Only Tor,5.1m sats,1,03e2aa18dfb6e6f13d7661f15a62275ca193a025a2b04667aa74cdafdf11d10e3e
4476,5394,6084,5621,4187,4096,satoshis.place,,Only Tor,5.1m sats,3,03146380e1ccdfa28e2a2611bd9b3494c4ddec77c96f590b44c9fb00ea75cc613d
3588,2434,880,1911,4187,4097,HOPPINGYARD,,Only Tor,5.1m sats,3,024c9e8f8f50217b1dfc94063d2b5ae72c0be3c92ef7b03f0bf0c84132fe88f82f
9999,9999,9999,9999,9746,4098,The_Life_Volcanic,,Only Tor,5.0m sats,1,02039753afe4281851baf586e84f5429bc8292657fe43cd2aa11f7bd8f8b60ce21
9999,9999,9999,9999,9746,4099,mynodebtc.com [myNode],,Only Tor,5.0m sats,1,036257f22a33ab7df52c720d4759d7da29e7f30912b43c6f5f4277707fa597fc74
9999,9999,9999,9999,9746,4100,ctrb.io,,Only Clearnet,5.0m sats,1,037954a4b24066551b746a2a21fd3ca1b209faf3a67d6f8bbabe013eb3694a69fb
4476,4320,3455,3260,4187,4101,benzeen,,Only Tor,5.0m sats,3,029a725c5e4f7e26fba843dd72665bfcf90554ebfc49c3f00f7393a5512e6e2c1f
3588,2755,4896,4423,5754,4102,FedCoinBad,,Only Tor,5.0m sats,2,0349d945229efc3ba1d37d2c21bef2295183906787eef79f4266993eb5efaee4e8
9999,9999,9999,9999,9746,4103,Molon Labe,,Only Tor,5.0m sats,1,029bf3edd752470fb554330e8d40f7f10d73e9f9838898117cdc7b4f04eced9d11
4476,2116,2280,3275,4187,4104,Inchhigh Amusements,,Only Tor,5.0m sats,3,038bafa2ade26e431936e482348ee0b12fb384c87111ebc64a47090675c650fcae
3588,3355,4078,3641,3335,4104,KarlHungus,,Only Tor,5.0m sats,4,02e0812eafbf748c7f98300c940ef7490063858c0ae56fa6d0f2e234b777b07481
9999,9999,9999,9999,9746,4106,Privato-Store-Node,,Only Tor,5.0m sats,1,029f88ea75be1385456ba793fee83dd64ad04b8d795698be59be0abd145f17b8cb
9999,9999,9999,9999,9746,4108,Mr Crownnnnn,,Only Tor,5.0m sats,1,0358fe9854b499efc83963ec50a7370fcf19dd16171d10edfbc0e87850caaa0c8f
5736,5498,6341,6647,5754,4108,mynodebtc.com [myNode],,Only Tor,5.0m sats,2,02ffe45918866710c342ba1a16244ef3017edfbbd524fae1918d9715095035f7b7
5736,5514,5560,5892,5754,4108,P-Plater,,Only Clearnet,5.0m sats,2,0270b2896d0074bc07d1021112fea1198f3b0f3f46f29b74dfd0be7cf73cd00dff
5736,3680,4423,3848,5754,4108,Gunslinger,,Only Tor,5.0m sats,2,0316e0f1239c69c22be8efd4fa9e092846497f39a0da264ae088de0a1d1b50f906
2555,2202,2121,2489,2121,4111,blitzone,,Only Tor,5.0m sats,7,02545cd25bfd73cff0b9837ba4c90e102ba4c7d6bc582721cf91d202d32a26d27b
5736,6345,2015,2226,5754,4112,0367cf268543b7a30e0d,,Only Tor,5.0m sats,2,0367cf268543b7a30e0dae739b73c19423ea480658d4438f0fd6e9b1cc366a51b2
3588,4047,3376,2573,2779,4113,AirReps BTC,,Only Tor,5.0m sats,5,0298bec2b7f29646098a6eb48538e3ef345b64f1a9cb5a7074d97f30e19bee8a79
9999,9999,9999,9999,9746,4114,anhucaLightning,,Only Tor,5.0m sats,1,03a24fb5bb2e2e3e2679bb0f5f0800f778fa17a9bd8141a4bb6e47266f128dce9f
9999,9999,9999,9999,9746,4115,SOMEDEEF,,Only Tor,5.0m sats,1,021c955b5184e606a831e32f05a3231f219d1ba409ee9bc969d71d73e582e5a631
9999,9999,9999,9999,9746,4115,03172cd181265c156548,,Only Tor,5.0m sats,1,03172cd181265c156548017ba5c73d07bfc585d5b5aef6ce4477db5d249970e2a6
9999,9999,9999,9999,9746,4117,Lichenberg,,Only Tor,5.0m sats,1,02a27e30aec1e835576e66ea809acdc97f39a9181afca8d1309105b14f42e14804
2981,5122,5915,5789,2779,4118,0259536c60a5efebce8d,,Only Clearnet,5.0m sats,5,0259536c60a5efebce8d153bf32afd743cfe92c3f8f22f53a9e4586c516c9a538f
3588,2642,944,2397,4187,4119,cwbit-lnd,,Only Tor,5.0m sats,3,03f6ce53dd3ef26fa45a87784359c5221e3d6a39be7bcf9797129c117ac50ced59
4476,6345,1758,1920,4187,4120,037cf3054185aba0bd28,,Only Tor,5.0m sats,3,037cf3054185aba0bd2889800c7d5c67b4cc08deca1686c24f98b15ee46d7e8fbd
5736,5231,5972,5595,5754,4121,start9-0x11695c7c02fcd9c2,,Only Tor,5.0m sats,2,034a20e8b5708e031a43bc4fb9e4a67d4b3465215d58b062f2d3f6ec0ec25fdb4b
3588,3133,3376,3602,5754,4122,jesterhodl,,Only Tor,5.0m sats,2,030aca6d8fc5c83ab4a169a02833c68aa6df736cdbde45142601a8c7d78567cb41
9999,9999,9999,9999,9746,4123,Plantain,,Only Clearnet,5.0m sats,1,032c78a80f3b162fa6e5e54cdabbb9d2c9f788c96bc6f43f3fcba0b4917b04c756
9999,9999,9999,9999,9746,4198,🐝BumbleBeePay🐝,,Only Tor,5.0m sats,1,0337cc53cf8df4236806595e61fe08c23b754e6a11ba5ceee204e34b3b304a32e1
9999,9999,9999,9999,9746,4198,030f39ac4cde5394f30d,,Only Tor,5.0m sats,1,030f39ac4cde5394f30d943cd02bcf6cb3fc6b04a6c6f04372937dcfd76834a11e
9999,9999,9999,9999,9746,4198,032bf5126ace0d3ba52a,,Only Tor,5.0m sats,1,032bf5126ace0d3ba52a59531473799815392ae87fb85d892d8082a2da7e828e83
9999,9999,9999,9999,9746,4198,MoreCredible,,Only Tor,5.0m sats,1,026c673b9aa622f3c7991565b5c7df52e730bdc03ffba20ad0b684015f30f994f5
9999,9999,9999,9999,9746,4198,sats.mobi,,Only Tor,5.0m sats,1,03213c5175050fc1dfe0b4560c0cd5c6dd6bf4b25c2f11df0285384d0402e0d397
9999,9999,9999,9999,9746,4198,darklevel,,Only Tor,5.0m sats,1,02e819d753f3ae38d7e5988a04c7985052318037b2e48cb38bad0139d3ae84d143
3588,2311,2686,3172,3335,4198,StackUBAR,,Only Tor,5.0m sats,4,0369dfd1b84ad23c33a6a308b0405298b5d6012c5262fb18c3d16899b5179a68c0
9999,9999,9999,9999,9746,4198,02744a6bba5e0e9b0e5d,,Only Tor,5.0m sats,1,02744a6bba5e0e9b0e5dc2d8c51a01e3acfdd73d6354c83b914e050e9c52607c20
9999,9999,9999,9999,9746,4198,mynodebtc.com [myNode],,Only Tor,5.0m sats,1,0288b4ff7fa939360ada4d07d98f9d7b881b715ac4651c7d876c9c6a82e762f0c9
9999,9999,9999,9999,12906,4198,deej,,Only Tor,5.0m sats,0,02a0bcc2b99673587d4a92028a2b2ce709b72c904962e2f783fd480c2c41e3dc7d
9999,9999,9999,9999,9746,4198,theblocklounge,,Only Tor,5.0m sats,1,0341a7227fab90a8ec55fdccc5c3d2dbb407b0924f7ccbad2b594f5891ac4a1c9f
