Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
148,980,1290,140,141,35,OneKey,"Wallet, Exchange",Only Clearnet,47.1 bitcoin,87,0378a5312ca36773971df43f833b571d024fd7d5d216fbdf7e241b710714ef1be1
20,39,7,10,23,36,Sunny Sarah ☀️,Routing,Only Clearnet,46.0 bitcoin,398,03423790614f023e3c0cdaa654a3578e919947e4c3a14bf5044e7c787ebd11af1a
353,1884,556,279,89,37,lndus1.zaphq.io,,Only Clearnet,45.6 bitcoin,134,03b428ba4b48b524f1fa929203ddc2f0971c2077c2b89bb5b22fd83ed82ac2f7e1
33,140,47,20,42,38,Azteco,Payment,Only Tor,41.7 bitcoin,244,02abfbe63425b1ba4f245af72a0a85ba16cd13365704655b2abfc13e53ad338e02
18,33,91,28,21,39,Bitrefill,"LSP, Payment",Only Clearnet,38.5 bitcoin,461,03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac
49,109,214,60,45,40,The Bitcoin Company,Payment,Only Tor,37.0 bitcoin,229,026ec3e3438308519a75ca4496822a6c1e229174fbcaadeeb174704c377112c331
5,5,4,5,7,41,LQwD-Canada,LSP,Only Tor,35.9 bitcoin,1119,0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1
66,142,107,46,68,42,kappa,,Only Tor,35.5 bitcoin,166,0324ba2392e25bff76abd0b1f7e4b53b5f82aa53fddc3419b051b6c801db9e2247
95,336,168,71,81,43,lnd2.blink.sv,"Wallet, Payment",Only Tor,34.4 bitcoin,141,02fcc5bfc48e83f06c04483a2985e1c390cb0f35058baa875ad2053858b8e80dbd
311,411,261,328,127,44,lndus0.zaphq.io,,Only Clearnet,34.4 bitcoin,92,027cd974e47086291bb8a5b0160a889c738f2712a703b8ea939985fd16f3aae67e
207,1476,195,105,160,45,paxful,,Only Tor,33.9 bitcoin,78,028b10be90ddfb4ef158c252163e4f340c8a093beee20427d39a0986abac58a55e
100,143,40,56,74,46,ed528ad49bedd1f7a638a,,Only Clearnet,33.9 bitcoin,152,02a98e8c590a1b5602049d6b21d8f4c8861970aa310762f42eae1b2be88372e924
172,647,127,96,176,47,BitcoinVN 22,Exchange,Only Tor,33.7 bitcoin,73,026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f
207,709,439,168,170,48,cwallet.com,"Wallet, Exchange",Only Clearnet,33.4 bitcoin,74,0371ccb71e3838984f6903b40b76581c4fceda54e22cb9c6a7d20681c036de0571
29,155,32,14,39,49,Garlic🧄,,Only Tor,32.2 bitcoin,250,033b63e4a9931dc151037acbce12f4f8968c86f5655cf102bbfa85a26bd4adc6d9
43,78,137,87,38,50,OpenNode.com,"LSP, Payment",Only Clearnet,31.8 bitcoin,253,028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4
